Crop,Year,Sow_Month,Vegetative_Dur,Reproductive_Dur,Maturity_Dur,Temp_C,Rainfall_mm,Humidity_%,SoilMoist_%,Vegetative_Irrig_lphw,Reproductive_Irrig_lphw,Maturity_Irrig_lphw
Chickpea,2011,November,25,47,26,22.67,194.8,65.5,17.6,2.01,3.28,2.1
Maize,2018,June,23,41,8,21.95,549.5,68.5,22.2,4.21,3.78,3.72
Paddy,2024,June,37,65,27,26.97,1009.3,81.9,34.0,7.2,7.42,4.09
Cotton,2021,July,44,77,31,28.43,798.9,56.4,15.0,5.2,5.9,3.55
Groundnut,2016,June,21,49,17,28.87,534.1,78.8,19.4,4.68,4.14,3.35
Groundnut,2020,June,26,41,17,30.61,511.3,80.2,23.5,4.72,5.28,2.68
Sorghum,2016,July,40,68,24,27.59,445.2,66.5,19.4,4.4,2.8,1.67
Soybean,2019,June,24,41,13,30.39,503.7,71.9,26.4,4.08,4.41,2.7
Paddy,2014,August,36,54,27,28.38,964.0,80.6,41.4,7.65,5.78,6.28
Paddy,2011,June,39,44,23,28.59,634.8,81.4,30.8,7.32,5.88,7.31
Groundnut,2024,June,33,53,20,28.46,321.2,80.4,22.1,6.06,3.74,3.26
Chickpea,2009,October,20,35,18,24.5,315.9,62.9,17.0,2.58,2.54,2.08
Cotton,2005,August,28,49,29,31.36,614.5,68.9,27.7,5.21,6.5,4.5
Groundnut,2021,June,37,47,18,26.08,553.0,75.6,31.0,5.27,2.89,3.77
Chickpea,2007,November,23,36,11,20.96,240.1,71.1,18.3,3.64,2.46,1.65
Groundnut,2017,June,27,58,18,27.72,348.7,69.5,19.0,4.68,3.32,4.13
Paddy,2018,July,35,41,24,26.23,645.1,79.5,24.2,7.14,6.8,5.48
Chickpea,2022,October,16,43,21,21.19,208.0,62.4,9.8,3.78,2.63,1.94
Sorghum,2008,July,43,44,19,29.56,515.0,71.9,27.2,4.62,3.34,2.38
Maize,2022,July,23,31,14,28.76,384.6,67.9,31.3,3.26,4.22,2.46
Soybean,2009,July,18,44,10,27.83,686.1,76.6,29.7,4.05,3.7,1.98
Sorghum,2020,June,41,54,18,29.22,439.4,64.2,28.7,4.32,4.14,2.89
Sorghum,2005,July,31,58,25,26.94,436.6,66.0,37.3,4.21,4.7,3.24
Sorghum,2018,June,38,62,25,30.26,505.2,68.8,19.3,3.48,3.73,2.3
Maize,2019,July,24,42,17,25.3,426.0,67.1,23.0,4.92,2.32,3.39
Groundnut,2013,June,28,70,14,27.27,497.7,76.1,11.2,4.45,4.57,2.63
Maize,2019,July,25,40,15,23.77,465.1,65.6,22.8,5.57,4.56,3.24
Groundnut,2021,June,34,63,24,30.94,388.1,64.5,17.1,4.79,4.84,3.14
Sorghum,2008,July,30,43,28,28.22,708.4,62.3,37.2,3.45,3.29,3.07
Maize,2016,June,25,42,16,23.51,397.5,68.9,19.2,5.3,4.34,3.23
Cotton,2009,July,54,49,24,32.45,769.2,79.4,25.8,6.22,4.59,4.59
Cotton,2009,August,44,39,23,27.83,510.4,69.8,19.5,5.94,7.03,3.65
Groundnut,2015,June,25,67,27,26.84,653.5,64.8,35.4,6.8,4.53,3.72
Cotton,2010,June,47,55,25,28.57,233.8,65.9,16.5,6.56,4.86,4.51
Soybean,2011,June,35,50,17,31.39,382.5,69.2,20.0,3.43,3.24,1.96
Chickpea,2018,October,25,36,9,20.01,178.0,62.6,14.8,3.2,2.6,2.02
Groundnut,2015,June,33,51,25,26.59,486.6,75.6,11.4,4.75,4.67,2.94
Sorghum,2017,June,31,55,21,32.72,412.2,77.0,18.6,4.01,3.15,2.5
Paddy,2006,July,41,57,28,26.71,883.6,78.6,24.7,7.32,8.38,7.81
Groundnut,2011,June,37,44,12,26.62,534.8,60.0,18.1,6.47,4.89,2.89
Paddy,2024,August,40,53,26,25.36,924.2,72.5,24.4,8.62,6.24,6.39
Soybean,2008,June,31,56,10,25.94,435.3,62.0,20.7,5.43,4.39,3.09
Groundnut,2012,June,26,45,31,29.43,342.6,86.8,20.6,2.55,5.26,1.81
Paddy,2024,June,41,42,27,26.8,1195.5,79.9,12.8,8.53,4.94,7.15
Groundnut,2023,June,26,45,16,27.21,502.9,69.7,19.5,3.81,3.9,4.05
Maize,2017,July,20,38,21,28.87,491.1,78.1,31.0,5.52,4.98,2.41
Sorghum,2018,June,38,41,20,23.9,291.4,76.4,16.8,4.83,4.42,2.21
Soybean,2014,July,27,61,9,25.52,433.3,69.3,27.0,4.3,2.87,3.22
Sorghum,2015,July,32,51,13,25.67,412.4,71.1,16.8,3.79,4.28,2.32
Sorghum,2006,July,34,54,29,27.02,222.8,71.4,25.0,3.61,3.88,3.27
Paddy,2013,August,26,54,26,30.53,713.7,80.3,21.4,9.85,8.22,4.92
Cotton,2021,June,41,48,28,29.67,361.5,74.8,15.6,6.41,5.73,5.05
Paddy,2007,July,26,63,28,23.86,1155.1,73.1,38.0,8.17,5.75,5.09
Paddy,2010,July,39,60,20,27.0,1027.7,77.1,24.9,6.69,7.85,6.81
Cotton,2009,August,51,62,20,30.29,869.0,72.5,13.9,6.73,6.95,3.55
Sorghum,2009,June,29,54,29,25.08,466.2,75.4,27.4,4.7,3.62,1.21
Paddy,2019,July,30,61,23,28.2,848.1,85.8,25.1,8.58,6.51,5.75
Paddy,2021,August,46,63,30,30.09,649.3,83.4,43.6,7.26,6.6,7.4
Sorghum,2013,July,34,37,23,27.62,541.3,66.7,27.2,4.16,4.12,3.12
Cotton,2007,July,38,62,35,25.37,977.0,78.3,20.0,5.17,4.84,4.07
Groundnut,2024,June,32,67,17,30.13,377.8,71.9,22.9,5.82,3.5,2.94
Chickpea,2021,November,24,43,21,20.31,274.7,70.4,17.9,3.01,2.51,2.61
Cotton,2014,July,42,64,33,29.4,465.9,71.3,22.7,6.35,3.35,2.73
Maize,2007,July,23,42,26,29.18,385.9,54.7,24.5,5.52,3.13,2.99
Soybean,2022,July,30,44,14,24.58,715.5,66.8,22.8,4.14,4.23,2.4
Soybean,2022,June,26,28,16,30.8,307.5,69.8,23.8,3.83,2.59,2.13
Sorghum,2021,July,35,57,25,28.34,546.7,74.6,33.6,5.35,4.32,2.55
Sorghum,2007,June,45,42,17,26.18,488.8,77.6,34.7,3.88,3.86,2.85
Cotton,2007,July,47,54,33,28.94,868.8,66.4,24.9,7.97,6.07,3.28
Groundnut,2010,June,25,58,20,30.03,651.5,74.4,17.9,5.39,5.32,3.22
Cotton,2017,August,51,40,36,29.09,548.9,75.8,24.8,4.01,3.84,4.96
Cotton,2019,June,46,65,31,26.25,761.3,70.9,15.2,4.14,5.55,5.96
Cotton,2013,June,56,45,28,30.18,536.8,54.7,30.0,6.83,3.96,3.19
Paddy,2008,June,34,44,27,27.91,1201.7,70.6,40.1,8.62,5.63,7.64
Sorghum,2018,June,31,51,24,25.62,490.1,55.3,33.2,3.11,3.24,3.6
Sorghum,2009,June,36,55,26,25.29,626.8,61.8,27.2,5.01,2.31,2.61
Groundnut,2006,June,29,46,21,32.49,418.8,80.2,23.7,4.03,3.81,3.39
Paddy,2015,August,37,44,33,29.31,1232.5,83.7,23.5,8.4,7.6,4.79
Cotton,2013,July,44,29,32,29.87,744.2,68.5,25.4,5.85,5.31,3.27
Chickpea,2007,November,22,43,18,19.4,291.3,52.7,13.7,2.03,2.6,2.07
Maize,2013,June,30,41,25,26.73,600.3,66.7,29.2,2.93,4.62,3.26
Chickpea,2007,October,23,34,17,20.94,281.4,68.1,18.2,2.77,3.02,2.36
Soybean,2006,July,22,48,13,31.47,635.1,79.6,27.3,5.05,2.84,2.38
Chickpea,2016,October,19,41,22,21.34,373.8,65.1,11.8,2.83,2.53,2.18
Soybean,2014,July,36,45,16,24.69,282.4,77.5,34.8,4.89,4.44,2.95
Chickpea,2013,November,24,41,19,22.41,160.5,67.0,19.7,3.59,2.7,2.35
Maize,2019,June,25,45,16,23.73,640.0,80.1,23.2,5.34,4.3,1.69
Cotton,2012,June,43,65,23,29.57,636.9,72.8,21.1,6.52,4.48,3.25
Maize,2009,July,32,49,17,30.04,290.4,65.5,26.5,4.94,4.17,3.27
Soybean,2015,June,35,47,14,25.88,413.5,73.9,7.6,4.05,3.31,2.01
Maize,2006,June,28,47,12,25.18,474.1,69.9,18.6,3.6,3.63,3.39
Sorghum,2019,July,32,39,8,25.65,678.5,65.8,28.7,2.5,2.89,1.99
Cotton,2010,August,50,68,34,31.87,520.0,75.5,30.7,6.98,4.65,3.54
Soybean,2012,July,32,45,13,29.1,417.0,72.1,25.9,3.92,3.55,2.22
Paddy,2009,July,40,62,23,26.63,1194.1,81.7,36.7,8.2,6.61,5.76
Soybean,2020,July,31,56,14,29.2,363.8,70.1,27.8,3.93,3.71,1.71
Cotton,2022,August,39,69,27,27.51,768.5,73.0,15.2,6.01,4.31,3.01
Sorghum,2010,July,32,66,24,22.79,466.5,60.8,35.4,2.42,3.89,2.87
Chickpea,2009,October,21,40,19,22.37,174.4,72.8,17.3,2.8,3.06,2.33
Groundnut,2020,June,31,51,27,26.89,638.0,77.1,14.7,5.27,3.04,2.99
Soybean,2017,July,33,52,14,27.71,508.8,67.3,24.2,4.31,4.45,2.44
Cotton,2009,July,46,61,21,30.75,674.9,60.6,13.9,5.65,4.44,4.48
Cotton,2017,August,45,57,28,29.51,708.4,71.4,21.1,5.08,4.74,4.13
Cotton,2021,June,54,40,25,29.89,588.5,78.8,19.9,6.2,5.39,3.46
Sorghum,2022,July,31,48,19,26.29,373.5,56.7,23.1,4.69,2.45,2.79
Chickpea,2012,October,24,47,20,22.19,114.8,53.2,16.6,1.26,3.12,2.36
Cotton,2017,July,41,62,26,28.17,614.5,66.5,14.7,4.28,5.3,3.59
Sorghum,2023,June,32,45,21,29.9,503.6,72.4,25.1,5.15,4.9,1.33
Sorghum,2007,July,29,36,17,31.39,486.5,77.6,25.1,3.59,4.49,2.93
Paddy,2012,July,30,54,16,26.99,1060.6,75.2,29.8,8.37,7.48,5.82
Paddy,2006,July,38,54,27,28.84,648.4,83.5,29.6,9.75,8.27,5.07
Maize,2012,June,17,36,20,27.61,670.0,77.3,19.5,4.16,2.86,2.39
Cotton,2017,July,53,67,23,27.96,633.9,58.3,21.7,4.24,5.92,4.73
Soybean,2017,July,38,30,18,29.84,628.2,73.5,26.6,4.74,3.28,2.3
Cotton,2005,August,46,77,30,31.11,457.7,76.9,14.6,6.27,4.61,3.93
Cotton,2010,August,39,72,28,26.73,620.1,72.4,22.0,6.97,4.66,3.95
Groundnut,2023,June,25,56,15,27.82,628.2,74.7,28.1,6.26,4.27,3.41
Maize,2020,June,25,46,14,27.14,581.4,70.0,14.9,5.15,3.96,2.91
Paddy,2012,August,35,51,32,27.25,443.2,79.8,16.4,8.54,9.59,7.22
Maize,2005,June,19,48,18,29.14,617.2,73.3,19.9,5.65,4.17,3.03
Sorghum,2020,July,25,63,18,29.43,444.2,63.1,26.9,5.03,3.93,2.47
Chickpea,2013,November,30,39,22,24.55,185.7,68.0,22.6,3.98,2.36,1.55
Cotton,2017,July,41,76,33,27.42,584.0,70.6,19.5,5.71,6.11,4.42
Soybean,2015,July,23,51,12,26.33,509.5,65.3,19.5,6.03,4.04,2.07
Chickpea,2017,October,17,33,18,23.95,218.7,64.5,14.1,3.01,3.16,2.06
Soybean,2014,June,37,49,12,29.31,546.5,62.8,14.8,4.77,2.56,3.0
Sorghum,2008,June,33,52,15,28.9,492.2,71.8,17.8,5.79,2.8,2.42
Cotton,2010,July,45,56,25,29.13,755.6,79.6,23.5,7.55,4.52,4.48
Chickpea,2011,October,28,28,27,23.48,143.8,70.5,15.8,3.18,2.6,2.7
Maize,2009,July,31,49,15,30.45,421.2,74.5,26.1,4.67,4.17,2.01
Cotton,2015,July,56,55,32,23.99,508.9,74.0,19.0,6.45,5.84,4.45
Maize,2017,July,27,55,24,29.64,491.4,75.5,29.5,4.5,3.6,3.27
Cotton,2023,August,44,64,34,26.63,875.1,73.5,22.6,4.34,5.72,4.41
Sorghum,2014,July,35,51,17,30.36,666.7,63.6,23.3,2.34,3.01,3.98
Maize,2014,July,27,28,16,22.13,396.1,67.4,25.5,2.74,4.52,2.69
Chickpea,2015,October,20,44,17,21.47,319.9,47.7,13.1,3.03,2.5,1.32
Paddy,2011,July,27,50,25,28.38,1101.4,72.8,23.3,7.61,7.68,4.87
Cotton,2022,June,43,52,32,25.23,440.1,77.9,14.5,7.3,6.24,5.12
Chickpea,2008,November,17,32,14,21.74,222.5,56.7,17.3,3.41,2.0,1.67
Chickpea,2006,October,21,46,18,22.74,139.8,59.6,14.6,2.63,3.27,2.45
Paddy,2018,July,32,58,24,30.61,1017.3,73.4,26.7,8.06,8.3,7.27
Soybean,2017,July,34,48,21,25.09,650.7,74.1,29.3,4.08,4.77,1.63
Maize,2016,June,19,36,23,25.09,535.7,66.7,17.1,5.87,2.3,4.07
Groundnut,2011,June,34,56,17,28.26,542.3,74.9,16.2,5.26,4.31,3.02
Cotton,2006,August,31,46,37,30.63,869.6,69.8,19.7,6.22,8.23,4.84
Groundnut,2017,June,25,58,20,30.44,726.1,76.9,19.1,6.88,3.06,3.04
Sorghum,2018,June,35,44,19,32.1,575.6,69.4,29.5,4.64,3.88,3.39
Groundnut,2021,June,32,61,20,28.49,459.7,70.7,13.0,4.38,3.35,2.9
Paddy,2013,June,34,51,27,27.77,835.2,84.2,23.5,9.21,7.16,5.65
Groundnut,2021,June,35,59,14,29.73,559.9,79.0,23.9,5.79,3.75,3.07
Chickpea,2012,October,25,49,26,25.12,201.2,63.0,13.9,3.04,2.5,2.22
Groundnut,2006,June,24,52,11,27.57,618.2,68.5,29.7,6.11,4.5,4.0
Soybean,2017,June,33,51,11,27.99,546.0,69.6,24.3,5.49,3.5,2.47
Cotton,2007,June,42,55,25,30.34,575.8,63.3,20.7,6.31,6.37,3.54
Groundnut,2020,June,28,44,17,26.88,641.4,76.6,15.6,4.32,3.66,3.98
Cotton,2010,July,50,45,29,32.33,505.5,73.1,19.8,5.97,5.46,2.51
Cotton,2023,June,46,50,26,33.52,878.9,62.2,18.1,6.0,5.18,3.24
Groundnut,2011,June,33,60,24,30.5,528.9,79.0,23.7,3.86,2.92,3.39
Cotton,2014,June,48,65,35,30.64,879.0,71.3,20.3,5.74,5.09,4.22
Cotton,2013,July,44,42,29,29.24,908.6,88.8,23.2,5.32,5.61,2.64
Sorghum,2006,July,45,51,26,28.07,418.4,87.4,16.7,6.54,4.74,2.46
Soybean,2019,July,31,45,17,26.27,474.3,76.9,23.4,4.41,2.82,3.25
Paddy,2009,July,27,63,33,24.24,1053.2,74.0,33.3,6.32,7.78,6.38
Paddy,2008,July,32,58,21,28.73,728.7,82.4,39.2,9.22,6.66,4.09
Chickpea,2024,November,28,40,14,21.41,172.1,67.8,17.2,3.54,1.9,2.17
Soybean,2008,June,31,46,12,22.61,467.4,76.6,26.6,4.46,3.36,2.87
Maize,2022,June,24,51,21,23.76,377.2,75.4,17.4,4.37,4.16,3.01
Maize,2008,July,20,35,22,24.59,461.4,60.4,25.4,3.43,3.25,3.73
Maize,2021,June,28,34,15,26.29,483.4,59.8,22.7,4.5,4.16,4.21
Soybean,2016,July,42,49,11,29.7,693.8,72.0,18.2,4.54,3.37,2.37
Chickpea,2021,November,28,51,30,25.34,233.7,58.2,14.7,2.9,3.43,1.79
Maize,2014,July,20,34,12,29.32,493.2,63.2,30.3,4.17,4.2,2.5
Groundnut,2005,June,19,44,17,30.8,558.1,74.7,10.9,6.34,4.28,3.13
Chickpea,2022,November,22,34,11,21.87,110.9,65.2,16.5,3.09,1.95,1.81
Sorghum,2022,July,33,33,22,25.05,438.1,66.2,12.9,2.81,3.98,2.44
Groundnut,2018,June,28,55,11,28.18,507.8,82.8,16.4,5.91,4.1,2.52
Soybean,2019,June,29,46,13,29.02,626.5,66.0,21.7,4.64,4.11,2.35
Chickpea,2016,November,28,38,18,19.86,262.1,74.2,28.3,3.23,2.47,1.63
Soybean,2008,June,32,46,10,26.19,561.6,71.1,36.6,4.14,3.09,2.54
Sorghum,2007,July,34,49,12,28.15,354.0,68.4,35.6,3.09,3.5,2.42
Cotton,2024,August,44,68,24,31.22,524.9,75.0,31.8,5.2,4.68,3.9
Groundnut,2016,June,31,36,20,28.56,496.7,75.5,22.8,5.5,3.24,3.05
Soybean,2011,June,26,38,6,27.85,350.3,71.0,19.4,4.33,3.7,2.6
Chickpea,2015,November,30,40,20,20.82,266.6,68.8,16.3,2.23,1.75,2.4
Maize,2005,June,19,40,17,31.55,405.9,62.8,18.5,4.78,4.09,3.19
Soybean,2010,June,32,41,24,28.75,506.7,75.9,28.7,5.65,4.45,3.19
Soybean,2019,June,34,48,10,25.69,454.3,71.6,27.0,5.05,3.84,2.37
Soybean,2019,June,37,49,17,28.54,474.6,62.7,25.0,6.21,4.01,1.93
Paddy,2023,July,35,54,25,29.09,850.5,77.0,31.3,11.15,5.91,6.98
Groundnut,2015,June,28,54,13,32.76,544.5,77.3,13.5,4.62,4.43,3.1
Sorghum,2006,July,32,38,27,26.82,279.9,68.6,30.2,4.78,3.66,2.53
Soybean,2018,June,13,53,14,25.73,379.1,66.3,18.6,3.6,2.85,1.98
Chickpea,2006,October,23,42,18,19.07,236.2,67.7,22.8,3.55,2.22,1.91
Paddy,2008,July,32,60,25,27.04,1277.1,68.8,22.7,6.7,5.23,5.35
Maize,2021,July,16,40,19,27.59,375.5,74.9,24.8,5.59,3.4,3.16
Chickpea,2007,October,23,35,24,23.1,107.3,56.2,26.6,2.71,2.1,2.46
Soybean,2017,June,29,41,18,24.77,567.6,84.4,26.8,4.18,3.09,2.97
Soybean,2013,July,39,34,16,28.44,638.5,80.3,21.3,4.92,5.04,2.47
Soybean,2011,July,21,49,22,24.01,359.3,76.9,24.3,4.67,3.62,2.58
Cotton,2019,July,33,52,12,28.34,507.8,61.8,22.0,5.66,4.76,5.11
Soybean,2015,July,40,41,12,27.93,443.8,67.2,19.6,5.65,3.7,1.84
Cotton,2024,June,49,59,35,25.97,562.6,63.7,15.8,6.74,3.99,4.23
Sorghum,2006,July,41,55,19,27.81,362.0,66.0,24.4,4.17,3.81,3.47
Paddy,2019,August,20,54,24,27.98,795.4,74.1,29.9,6.07,7.14,4.32
Chickpea,2018,October,21,43,25,21.77,36.9,63.8,14.6,2.87,2.39,1.66
Maize,2024,June,22,38,20,25.97,648.1,72.6,25.4,5.22,2.97,3.12
Maize,2015,July,28,36,18,26.87,683.8,75.7,27.4,4.52,3.55,3.38
Soybean,2007,July,37,40,13,33.36,556.9,69.0,26.0,4.05,2.7,3.19
Maize,2021,July,18,44,26,29.68,452.7,64.5,23.9,4.97,4.74,3.03
Cotton,2016,June,49,47,26,31.18,793.6,74.8,19.8,5.98,4.18,3.7
Chickpea,2019,November,26,49,20,21.51,170.3,70.9,17.0,3.22,2.36,2.47
Sorghum,2020,June,34,57,27,27.29,498.5,81.1,27.1,4.31,3.75,3.15
Paddy,2009,June,31,66,29,27.64,820.1,83.3,26.7,9.88,7.11,7.11
Cotton,2024,June,36,52,26,29.07,510.8,72.4,22.4,5.55,5.04,4.43
Cotton,2010,August,45,74,25,24.87,480.6,71.1,23.5,5.26,8.32,4.15
Paddy,2023,August,30,55,22,25.05,957.0,67.4,35.9,6.6,6.69,3.96
Soybean,2009,July,28,38,11,27.69,525.8,63.5,24.0,4.19,4.3,2.89
Chickpea,2007,November,29,36,17,22.96,115.5,66.7,21.8,3.95,2.87,2.43
Maize,2005,June,34,39,14,23.23,572.6,74.2,20.0,3.74,4.79,2.26
Maize,2010,July,15,45,22,31.78,394.6,67.0,23.9,4.77,5.26,2.76
Paddy,2019,June,24,59,27,24.52,892.4,69.8,10.1,6.72,6.38,6.58
Paddy,2006,July,33,62,23,28.4,569.6,80.3,44.8,6.89,8.43,6.62
Soybean,2007,July,32,42,17,29.37,543.3,78.3,10.3,4.52,4.02,1.76
Maize,2021,July,20,44,15,31.36,523.5,69.1,17.3,3.61,3.74,2.65
Chickpea,2016,November,17,33,22,24.13,203.1,70.7,21.8,3.09,2.14,2.18
Chickpea,2022,November,24,44,18,18.81,322.6,58.6,20.5,2.32,2.41,2.14
Soybean,2019,June,33,58,17,25.66,371.4,69.5,32.9,4.54,3.86,3.19
Chickpea,2016,October,23,44,18,22.76,190.8,66.2,24.9,3.93,2.26,1.91
Paddy,2020,July,23,61,19,23.67,1105.2,72.9,24.6,10.37,5.34,4.87
Paddy,2012,July,34,49,16,27.4,844.3,83.7,35.2,5.56,8.71,5.54
Sorghum,2018,June,37,44,20,34.32,421.6,80.8,9.4,4.66,4.05,3.02
Soybean,2021,June,25,41,12,27.05,411.4,74.7,25.2,4.21,2.43,2.72
Sorghum,2012,June,38,65,24,24.69,551.0,61.1,24.0,4.14,2.47,2.31
Maize,2019,June,20,43,20,27.54,403.7,76.6,20.2,4.76,3.59,2.4
Chickpea,2018,October,28,53,22,24.02,219.6,75.9,20.3,2.89,3.42,1.48
Sorghum,2022,June,35,66,24,31.28,363.7,64.3,26.0,3.21,4.33,2.88
Soybean,2024,June,38,50,21,26.94,426.9,72.7,20.3,5.03,4.48,3.02
Sorghum,2011,June,40,66,23,28.44,619.3,77.4,27.2,4.5,4.09,1.94
Sorghum,2007,June,45,62,19,30.26,447.2,67.6,26.9,3.04,3.86,2.39
Paddy,2016,June,36,54,22,27.3,1008.5,79.6,26.5,6.76,8.86,6.57
Chickpea,2007,November,24,35,15,23.5,304.4,82.1,16.3,2.79,2.11,2.45
Cotton,2024,August,44,53,23,24.96,848.7,67.7,22.4,6.1,5.45,2.4
Groundnut,2018,June,27,64,29,28.27,492.6,79.3,23.2,5.23,4.05,2.86
Soybean,2019,June,29,43,10,25.78,450.0,72.7,19.2,3.8,4.33,2.69
Paddy,2018,June,30,50,19,25.35,1224.0,76.3,44.9,9.27,5.0,5.69
Sorghum,2011,July,21,48,20,29.75,531.4,72.3,23.8,5.9,3.01,2.61
Groundnut,2021,June,38,51,19,29.81,648.4,74.7,16.6,4.83,4.53,3.02
Sorghum,2016,July,35,51,17,29.52,271.8,64.2,19.1,3.32,2.35,2.94
Chickpea,2024,November,27,42,20,24.65,222.4,72.8,23.6,3.35,2.13,1.95
Chickpea,2008,October,23,42,15,25.26,223.3,74.5,13.3,2.29,3.04,1.74
Maize,2013,July,24,43,19,27.02,400.0,66.1,23.8,4.94,4.81,3.3
Cotton,2010,August,51,52,25,24.72,399.7,64.3,23.9,7.68,4.32,3.68
Cotton,2020,July,44,56,32,28.96,587.2,64.0,23.7,7.66,4.24,2.88
Soybean,2006,July,33,52,8,25.87,620.5,72.6,21.3,5.33,3.25,2.13
Chickpea,2012,November,25,35,20,24.4,213.7,57.7,22.7,3.83,2.68,1.61
Soybean,2015,July,33,41,11,24.08,543.0,59.7,26.4,4.21,3.6,2.84
Chickpea,2017,October,29,33,22,22.34,175.2,64.3,22.3,2.28,2.29,1.7
Paddy,2021,June,39,58,30,28.26,902.2,64.8,39.7,6.25,9.31,5.31
Paddy,2012,July,35,45,22,22.12,900.8,70.9,33.2,7.22,6.25,6.15
Sorghum,2022,June,30,52,16,29.28,399.7,80.3,23.6,4.82,3.59,2.5
Sorghum,2022,June,39,42,16,30.36,643.4,67.8,7.3,4.04,3.62,2.66
Soybean,2018,July,41,50,15,32.1,366.7,79.6,17.7,4.58,2.66,2.31
Chickpea,2019,October,30,32,17,22.69,313.8,68.2,14.2,4.07,2.35,1.63
Maize,2010,July,18,33,12,27.77,439.5,72.5,24.7,5.51,4.0,2.57
Cotton,2015,June,49,74,29,28.76,684.4,55.6,15.6,5.09,5.5,4.12
Sorghum,2017,July,27,44,24,28.47,711.2,69.9,16.5,2.93,4.3,2.18
Maize,2005,July,21,26,22,26.11,443.2,76.8,19.1,5.38,4.63,2.66
Paddy,2010,July,47,55,27,24.95,1037.5,78.1,11.4,6.96,4.93,5.34
Cotton,2013,August,42,70,27,29.57,620.9,65.6,19.9,7.05,5.27,4.47
Groundnut,2012,June,31,68,14,34.0,629.6,79.9,27.5,6.13,3.07,2.52
Cotton,2015,June,45,73,29,31.97,529.3,62.3,14.0,5.72,5.39,2.59
Soybean,2023,June,27,43,16,31.52,297.0,75.4,28.1,3.48,3.67,2.64
Paddy,2013,August,28,56,20,27.86,576.9,73.7,37.2,8.83,7.42,5.6
Maize,2021,June,21,42,13,28.47,353.5,57.6,32.1,4.03,3.42,3.68
Maize,2016,July,24,50,20,24.82,404.4,75.3,21.5,4.77,4.5,3.56
Soybean,2018,July,37,37,14,25.0,388.6,69.4,29.2,5.38,3.75,1.42
Maize,2019,June,31,42,14,28.59,476.5,64.5,23.1,3.32,3.61,2.42
Sorghum,2020,June,24,56,18,24.69,375.1,59.1,16.3,4.25,3.33,3.0
Sorghum,2024,June,27,49,14,27.43,375.6,59.5,26.1,5.69,3.42,2.97
Groundnut,2005,June,30,54,27,28.45,163.7,69.6,21.5,5.1,3.92,2.89
Soybean,2014,July,31,44,17,27.72,565.9,78.2,15.3,3.68,3.16,3.47
Maize,2012,July,31,39,22,29.41,447.3,72.6,20.8,5.83,3.98,3.82
Groundnut,2022,June,30,75,16,30.72,515.3,72.9,11.5,5.27,3.32,3.01
Cotton,2005,June,38,68,21,25.66,894.6,77.8,30.4,5.63,5.09,4.42
Cotton,2006,August,39,46,30,29.4,478.3,68.0,17.0,7.25,5.61,4.16
Cotton,2005,July,41,70,24,28.5,663.2,65.9,17.8,5.35,4.49,3.07
Soybean,2005,July,29,56,13,31.88,448.4,77.4,22.4,5.12,5.21,2.71
Groundnut,2013,June,36,47,15,25.74,403.9,81.6,22.7,4.96,4.26,3.61
Maize,2017,July,15,48,25,25.62,559.4,67.7,24.4,5.48,4.44,3.8
Soybean,2005,June,34,38,13,27.1,449.2,63.9,19.7,4.72,3.71,3.24
Soybean,2017,June,25,58,15,25.93,421.1,80.2,17.9,4.74,4.42,2.78
Groundnut,2024,June,27,61,20,25.56,654.6,70.9,20.1,5.48,3.67,3.65
Maize,2011,June,17,41,21,24.05,588.1,61.9,20.1,5.67,2.96,3.49
Cotton,2006,June,46,66,37,32.12,680.7,59.1,17.6,6.82,5.23,4.66
Sorghum,2010,July,34,48,5,31.15,483.1,69.1,28.1,3.97,2.82,2.24
Chickpea,2011,October,25,39,22,22.78,242.9,57.8,12.9,3.04,2.59,1.58
Cotton,2018,June,41,67,25,31.14,842.1,79.4,18.1,7.57,4.8,5.83
Soybean,2022,July,29,38,14,32.73,619.9,75.3,26.8,5.73,2.99,2.3
Maize,2019,July,22,29,23,25.21,628.0,77.6,35.0,5.2,4.45,3.37
Chickpea,2006,October,32,37,23,23.25,277.5,78.4,22.0,3.5,2.4,1.73
Groundnut,2014,June,42,54,19,29.58,541.1,82.0,23.7,4.02,3.57,3.21
Maize,2016,July,22,47,19,24.56,540.1,65.0,14.8,5.26,3.94,3.09
Chickpea,2021,November,24,41,24,24.19,222.2,76.9,21.5,2.74,1.81,1.83
Cotton,2012,July,42,57,24,28.14,721.7,73.8,14.3,5.05,4.48,2.87
Sorghum,2015,June,37,32,24,25.34,292.1,62.3,23.7,4.26,2.46,1.95
Soybean,2007,June,29,44,17,22.91,463.9,69.8,29.1,4.07,3.58,2.88
Soybean,2010,June,23,33,13,26.49,476.4,71.3,19.4,4.33,3.2,3.26
Chickpea,2013,October,21,30,19,21.84,305.8,61.0,19.1,2.76,2.01,2.32
Paddy,2010,August,34,46,29,31.14,771.1,84.1,24.0,7.36,8.43,5.89
Paddy,2013,August,35,62,32,26.65,941.5,76.5,24.3,6.86,7.84,6.19
Chickpea,2011,November,20,43,21,22.31,235.7,59.5,13.5,4.27,3.01,2.05
Cotton,2013,June,56,69,37,27.57,630.0,62.7,21.1,4.23,5.96,3.48
Soybean,2022,July,33,36,15,27.24,426.9,75.0,32.8,4.64,2.24,2.06
